Rounds	x%	o%	t%
8950	0.000000	1.000000	0.000000
9000	0.000000	1.000000	0.000000
9050	0.000000	1.000000	0.000000
9100	0.000000	1.000000	0.000000
9150	0.000000	1.000000	0.000000
9200	0.000000	1.000000	0.000000
9250	0.000000	1.000000	0.000000
9300	0.000000	1.000000	0.000000
9350	0.000000	1.000000	0.000000
9400	0.000000	1.000000	0.000000
9450	0.000000	1.000000	0.000000
9500	0.000000	1.000000	0.000000
9550	0.000000	1.000000	0.000000
9600	0.000000	1.000000	0.000000
9650	0.000000	1.000000	0.000000
9700	0.000000	1.000000	0.000000
9750	0.000000	1.000000	0.000000
9800	0.000000	1.000000	0.000000
9850	0.000000	1.000000	0.000000
9900	0.000000	1.000000	0.000000
9950	0.000000	1.000000	0.000000
10000	0.000000	1.000000	0.000000
